 point time
95 7384769211413696058749755956043063687400744455873154165074305326424877844688945795816657328287239778532400359391775520196794130767517446728309158241632256 2319239
96 7384769211413696058749755956043063687400744455873154165074305326424877844688945795816657328287239778532400359391775520196794130767517446728309158241632256 2377273
97 7384769211413696058749755956043063687400744455873154165074305326424877844688945795816657328287239778532400359391775520196794130767517446728309158241632256 1998285
98 7437143461140034328669966991192305273836210728609843201706037988314415985431420588694789649764454245046814546337816481332941606872251613017162414683062272 2291045
99 7437143461140034328669966991192305273836210728609843201706037988314415985431420588694789649764454245046814546337816481332941606872251613017162414683062272 2293784
100 7437143461140034328669966991192305273836210728609843201706037988314415985431420588694789649764454245046814546337816481332941606872251613017162414683062272 2082966
101 7437143461140034328669966991192305273836210728609843201706037988314415985431420588694789649764454245046814546337816481332941606872251613017162414683062272 1991529
102 7437143461140034328669966991192305273836210728609843201706037988314415985431420588694789649764454245046814546337816481332941606872251613017162414683062272 2210707
103 7437143461140034328669966991192305273836210728609843201706037988314415985431420588694789649764454245046814546337816481332941606872251613017162414683062272 2067086
104 7437143461140034328669966991192305273836210728609843201706037988314415985431420588694789649764454245046814546337816481332941606872251613017162414683062272 1989656
105 7489517710866372598590178026341546860271677001346532238337770650203954126173895381572921971241668711561228733283857442469089082976985779306015671124492288 2406802
106 7489517710866372598590178026341546860271677001346532238337770650203954126173895381572921971241668711561228733283857442469089082976985779306015671124492288 2090562
107 7489517710866372598590178026341546860271677001346532238337770650203954126173895381572921971241668711561228733283857442469089082976985779306015671124492288 2014742
108 7489517710866372598590178026341546860271677001346532238337770650203954126173895381572921971241668711561228733283857442469089082976985779306015671124492288 2056560
109 7489517710866372598590178026341546860271677001346532238337770650203954126173895381572921971241668711561228733283857442469089082976985779306015671124492288 2265660
110 7489517710866372598590178026341546860271677001346532238337770650203954126173895381572921971241668711561228733283857442469089082976985779306015671124492288 2266451
111 7489517710866372598590178026341546860271677001346532238337770650203954126173895381572921971241668711561228733283857442469089082976985779306015671124492288 2089037
112 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2014108
113 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 1997341
114 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2106944
115 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2004953
116 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2088380
117 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2291244
118 7541891960592710868510389061490788446707143274083221274969503312093492266916370174451054292718883178075642920229898403605236559081719945594868927565922304 2188990
119 7594266210319049138430600096640030033142609546819910311601235973983030407658844967329186614196097644590057107175939364741384035186454111883722184007352320 2082030
120 7594266210319049138430600096640030033142609546819910311601235973983030407658844967329186614196097644590057107175939364741384035186454111883722184007352320 2133007
121 7594266210319049138430600096640030033142609546819910311601235973983030407658844967329186614196097644590057107175939364741384035186454111883722184007352320 1986431
